opstina,mesto,ulica,cena,povrsina,cena_po_m2,broj_soba,stanje,sprat,grejanje,uknjizenost,parking_garaza,Lift,Terasa,Lodja,Tavan,Podrum,namesten,godina_izgradnje,X,Y
Vozdovac,Brace Jerkovic,Brace Jerkovic,53000,41,1293,1.5,Novo,1,Centralno,Uknjizeno,1,1,1,0,0,0,NA,NA,44.7713,20.48792
Zvezdara,Mirijevo,Milica od Macve,52900,46,1150,1.5,Novo,2,Etazno,Uknjizeno,0,1,1,0,0,0,Namesteno,NA,44.79313,20.50491
Rakovica,,Borska,52500,30,1750,1.5,Novo,Suteren,Etazno,Uknjizeno,1,0,1,0,0,0,Namesteno,NA,44.75006,20.45577
Vozdovac,Brace Jerkovic,Mitrovdanska,52500,42,1250,1.5,Novo,1,Etazno,Uknjizeno,0,0,1,0,0,0,Namesteno,NA,44.75569,20.50275
Zvezdara,Zvezdarska Suma,Lokrumska,52500,43,1221,1.5,Novo,3,Etazno,Nije uknjizeno,0,0,1,0,0,0,Namesteno,2019,44.80535,20.51641
Zvezdara,Mirijevo,Mirijevo,52360,44,1190,1.5,Novo,1,Etazno,Uknjizba u toku,1,0,1,0,0,0,NA,NA,44.79313,20.50491
Zvezdara,Mirijevo,Klanicka stara,52000,41,1268,1.5,Novo,Prizemlje,Etazno,Nije uknjizeno,1,0,1,0,0,0,Namesteno,2004,44.79456,20.5253
Zvezdara,Mirijevo,Mirijevsko brdo,52000,44,1182,1.5,Novo,Prizemlje,Etazno,Uknjizeno,0,1,1,0,0,0,Prazno,2017,44.81153,20.52835
Zvezdara,Mirijevo,Sejkina,52000,45,1156,1.5,Novo,3,Etazno,Uknjizeno,0,0,1,0,0,0,NA,NA,44.79762,20.529
Zvezdara,Gradska Bolnica,Mehmeda Sokolovica,51800,28,1850,1.5,Novo,NA,Centralno,Nije uknjizeno,0,1,0,0,0,0,Prazno,NA,44.80292,20.49475
Vozdovac,Jajinci,Kolonija,51750,45,1150,1.5,Novo,1,Norveski radijatori,Uknjizeno,1,1,1,0,0,0,Namesteno,NA,44.75095,20.47668
Vozdovac,Jajinci,Kolonija,51750,45,1150,1.5,Novo,3,Norveski radijatori,Nije uknjizeno,0,1,0,0,0,0,Namesteno,2019,44.75095,20.47668
Zvezdara,Mirijevo,Mihaila Bulgakova,51750,45,1150,1.5,Novo,3,Etazno,Uknjizeno,0,1,1,0,0,0,Prazno,NA,44.78725,20.54187
Zvezdara,Zeleno Brdo,Keltska,51500,42,1226,1.5,Novo,NA,Etazno,Uknjizeno,1,1,1,0,0,0,Namesteno,2017,44.78288,20.52938
Zvezdara,Mirijevo,Mirijevo,51500,50,1030,1.5,Novo,3,Etazno,Uknjizeno,0,NA,NA,NA,NA,NA,Prazno,NA,44.79313,20.50491
Zemun,Batajnica,Batajnica,51150,52,984,1.5,Novo,3,Etazno,Uknjizeno,1,0,1,0,0,0,Prazno,2020,44.8738,20.33844
Vozdovac,Brace Jerkovic,Brace Jerkovic,51000,34,1500,1.5,Novo,1,Gas,Uknjizeno,1,1,1,0,0,0,Namesteno,NA,44.7713,20.48792
Zvezdara,Mirijevo,Mirijevski bulevar,51000,36,1417,1.5,Novo,3,Etazno,NA,1,0,1,0,0,0,NA,NA,44.79834,20.52794
Zvezdara,Mirijevo,Rudi Cajaveca,51000,41,1244,1.5,Novo,3,Centralno,Uknjizeno,1,1,1,0,0,0,Prazno,NA,44.79336,20.53979
Zvezdara,Mirijevo,Mirijevsko brdo,51000,44,1159,1.5,Novo,Prizemlje,Norveski radijatori,Uknjizeno,0,1,1,0,0,0,Namesteno,NA,44.81153,20.52835
Zvezdara,Mali Mokri Lug,Bekerelova,51000,51,1000,1.5,Novo,NA,Struja,Uknjizeno,1,0,1,0,0,0,Namesteno,NA,44.77277,20.53782
Zvezdara,Mirijevo,Mihaila Bulgakova,50600,44,1150,1.5,Novo,1,Norveski radijatori,Nije uknjizeno,0,1,1,0,0,0,Namesteno,2020,44.78725,20.54187
