opstina,mesto,ulica,cena,povrsina,cena_po_m2,broj_soba,stanje,sprat,grejanje,uknjizenost,parking_garaza,Lift,Terasa,Lodja,Tavan,Podrum,namesten,godina_izgradnje,X,Y
Stari Grad,Dorcol,Knez Miletina,87000,27,3222,1,Luksuz,1,Centralno,NA,0,1,0,0,0,0,NA,NA,44.81878,20.47122
Zemun,Gornji Grad,Milana Uzelca ,60000,27,2222,1,Luksuz,2,Centralno,Uknjizeno,1,0,1,0,0,0,NA,NA,44.84054,20.3935
Savski Venac,Beograd na vodi,Arcadia,140888,54,2609,1,NA,1,Centralno,NA,1,1,1,0,0,0,NA,NA,44.80921,20.45865
Vracar,Slavija,Beogradska,120000,45,2667,1,NA,NA,NA,Uknjizeno,0,1,1,0,0,0,NA,NA,44.80494,20.46899
Vracar,Slavija,Njegoseva,115000,42,2738,1,NA,6,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.80168,20.47226
Palilula,Tasmajdan,Kraljice Marije,112000,46,2435,1,NA,2,Centralno,Uknjizeno,0,1,0,1,0,0,NA,1965,44.80786,20.47699
Novi Beograd,Blok 22,Antifasisticke Borbe,110000,43,2558,1,NA,2,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.80768,20.41902
Savski Venac,Slavija,Svetozara Markovica,110000,44,2500,1,NA,6,Etazno,Uknjizeno,0,1,1,0,0,1,Prazno,NA,44.80216,20.46215
Vracar,Tasmajdan,Svetozara Markovica,110000,44,2500,1,NA,6,Etazno,Uknjizeno,0,2,0,0,0,0,NA,NA,44.8066,20.46756
Vracar,Kalenic,Baba Visnjina,109000,34,3206,1,NA,1,Centralno,Uknjizeno,0,1,1,0,0,0,NA,2010,44.80119,20.47324
Stari Grad,Trg Republike,Kolarceva,108000,30,3600,1,NA,10,NA,Uknjizeno,0,1,0,0,0,0,NA,NA,44.81522,20.46052
Stari Grad,Centar,Bulevar Despota Stefana,108000,42,2571,1,NA,2,Struja,Nije uknjizeno,0,0,1,0,0,1,Prazno,1928,44.81676,20.46746
Novi Beograd,Blok 67a - A Blok,Urosa Martinovica,107990,36,3000,1,NA,2,NA,Uknjizeno,0,1,0,0,0,0,NA,NA,44.80639,20.40153
Stari Grad,Centar,Decanska,105000,28,3750,1,NA,2,TA pec,Uknjizeno,0,1,0,1,0,0,NA,1957,44.81403,20.46294
Stari Grad,Trg Republike,Kolarceva,105000,30,3500,1,NA,10,Etazno,Uknjizeno,0,1,0,0,0,0,Prazno,NA,44.81522,20.46052
Stari Grad,Donji Dorcol,Sibinjanin Janka,105000,40,2625,1,NA,5,Centralno,Nije uknjizeno,1,1,0,1,0,0,NA,2000,44.82729,20.45949
Vracar,Crveni Krst Vracar,Vojislava Ilica,102000,50,2040,1,NA,1,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.79373,20.49424
Zvezdara,Lipov Lad,Vojislava Ilica,102000,50,2040,1,NA,1,Centralno,Uknjizeno,0,1,1,0,0,0,NA,2009,44.786,20.50041
Palilula,Cvijiceva,Jovana Avakumovica,98000,39,2513,1,NA,8,NA,Uknjizeno,0,1,1,0,0,0,Prazno,NA,44.81806,20.48015
Palilula,Tasmajdan,Dalmatinska,97474,37,2634,1,NA,4,NA,NA,0,NA,NA,NA,NA,NA,NA,2020,44.8128,20.47618
Savski Venac,Savamala,Beograd na vodi,95888,22,4359,1,NA,12,Centralno,NA,0,NA,NA,NA,NA,NA,NA,2019,44.80921,20.45865
Stari Grad,Gornji Dorcol,Kapetan Misina,95000,31,3065,1,NA,Prizemlje,Centralno,Nije uknjizeno,0,0,1,0,0,1,Prazno,NA,44.82274,20.46273
Stari Grad,Gornji Dorcol,Kapetan Misina,95000,31,3065,1,NA,Prizemlje,Centralno,Uknjizeno,0,1,1,0,0,0,Prazno,1952,44.82274,20.46273
Stari Grad,Skadarlija,Cara Dusana,95000,31,3065,1,NA,5,Etazno,Uknjizeno,0,1,0,0,0,0,Prazno,NA,44.82292,20.46092
Savski Venac,Beograd na vodi,Beograd na vodi,94999,31,3064,1,NA,4,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.80921,20.45865
Savski Venac,Beogradanka,Admirala Geprata,93000,40,2325,1,NA,1,Centralno,Uknjizeno,0,1,0,0,0,0,NA,NA,44.80819,20.46038
Vracar,Slavija,Beogradska,92900,40,2323,1,NA,Prizemlje,Struja,Uknjizeno,0,1,1,0,0,0,NA,NA,44.80494,20.46899
Stari Grad,Terazije,Prizrenska,92000,28,3286,1,NA,6,TA pec,Uknjizeno,0,1,1,0,0,0,NA,NA,44.81377,20.45912
Stari Grad,Centar,Prizrenska,92000,30,3067,1,NA,6,Centralno,Uknjizeno,0,1,0,0,0,0,NA,NA,44.81377,20.45912
Novi Beograd,Blok 24,Bulevar arsenija carnojevica ,92000,36,2556,1,NA,3,Centralno,Uknjizeno,0,1,1,0,0,0,NA,1990,44.81227,20.42044
Zemun,Retenzija,Prve pruge,92000,40,2300,1,NA,1,Centralno,Uknjizeno,0,2,1,0,0,0,NA,1970,44.83621,20.41208
Novi Beograd,Blok 29,Bulevar Arsenija Carnojevica,91000,41,2220,1,NA,1,Centralno,Uknjizeno,0,1,1,0,0,1,Prazno,2000,44.81227,20.42044
Zvezdara,Lipov Lad,Trajka Stamenkovica,90200,35,2577,1,NA,Prizemlje,Centralno,NA,0,1,0,0,0,0,NA,2020,44.79545,20.49334
Stari Grad,Centar,Decanska,90000,26,3462,1,NA,6,Struja,Uknjizeno,0,1,0,0,0,0,NA,1989,44.81403,20.46294
Novi Beograd,Blok 12 - YUBC,Bulevar Mihajla Pupina,90000,39,2308,1,NA,3,Centralno,Uknjizeno,0,1,0,0,0,0,NA,NA,44.81613,20.43133
Novi Beograd,Blok 25 - Arena,Blok 25 - Arena,90000,41,2195,1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,44.81535,20.41593
Novi Beograd,Savski Blokovi,Nehruova,89900,45,1998,1,NA,1,Centralno,Uknjizeno,0,0,1,0,0,0,NA,NA,44.80481,20.37869
Zvezdara,Lipov Lad,Trajka Stamenkovica,89700,35,2563,1,NA,Prizemlje,Centralno,NA,0,1,0,0,0,0,NA,2020,44.79545,20.49334
Zvezdara,Lipov Lad,Trajka Stamenkovica,89250,35,2550,1,NA,1,Centralno,NA,0,1,1,0,0,0,NA,2020,44.79545,20.49334
Zvezdara,Lipov Lad,Trajka Stamenkovica,89250,35,2550,1,NA,2,Centralno,NA,0,1,1,0,0,0,NA,2020,44.79545,20.49334
Zvezdara,Lipov Lad,Trajka Stamenkovica,89250,35,2550,1,NA,4,Centralno,NA,0,1,1,0,0,0,NA,2020,44.79545,20.49334
Stari Grad,Centar,Rige od Fere,89000,43,2070,1,NA,Potkrovlje,Struja,Uknjizeno,0,NA,NA,NA,NA,NA,Prazno,NA,44.82362,20.45688
Vracar,Slavija,Koce Kapetana,86900,30,2897,1,NA,1,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,Namesteno,NA,44.80157,20.47284
Savski Venac,Beograd na vodi,Arcadia,85888,28,3067,1,NA,1,Centralno,NA,1,1,1,0,0,0,NA,NA,44.80921,20.45865
Vracar,Cvetni Trg,Krunska,85000,24,3542,1,NA,NA,Centralno,Uknjizeno,0,0,1,0,0,1,Prazno,1938,44.80557,20.46975
Zvezdara,Lion,Koste Abrasevic,85000,32,2656,1,NA,4,NA,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.7935,20.50015
Vracar,Kalenic,Kalenic,85000,33,2576,1,NA,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,44.80135,20.47574
Vracar,Krunski Venac,Hadzi Prodanova,85000,33,2576,1,NA,2,Etazno,Uknjizeno,0,0,0,1,0,1,NA,1939,44.80341,20.47594
Vracar,Krunski Venac,Krunska,85000,33,2576,1,NA,NA,Etazno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.80557,20.46975
Novi Beograd,Blok 44,Gandijeva,85000,45,1889,1,NA,3,Centralno,Uknjizeno,1,1,1,0,0,0,NA,NA,44.8075,20.38505
Novi Beograd,Blok 44,Gandijeva ,85000,45,1889,1,NA,3,Centralno,Uknjizeno,0,1,1,0,0,0,NA,1986,44.8075,20.38505
Stari Grad,Terazije,Terazije,84000,22,3818,1,NA,6,Centralno,Uknjizeno,0,1,1,0,0,0,Prazno,NA,44.81323,20.46071
Vracar,Kalenic,Hadzi Prodanova,84000,36,2333,1,NA,1,Etazno,Uknjizeno,0,0,1,0,0,1,NA,NA,44.80341,20.47594
Novi Beograd,Hotel YU,Aleksinackih rudara,82000,35,2343,1,NA,2,Centralno,Uknjizeno,0,1,0,0,0,0,NA,NA,44.82762,20.41399
Novi Beograd,Blok 30,Bulevar Mihajla Pupina,82000,41,2000,1,NA,7,Centralno,Uknjizeno,0,1,0,1,0,0,Prazno,NA,44.81613,20.43133
Vracar,Juzni Bulevar,Juzni bulevar,80000,38,2105,1,NA,6,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.7928,20.47359
Savski Venac,Dedinje,Mihaila Avramovica,80000,40,2000,1,NA,1,Etazno,Uknjizeno,0,NA,NA,NA,NA,NA,Namesteno,NA,44.76872,20.45753
Stari Grad,Bajlonijeva Pijaca,Drinciceva,79500,34,2338,1,NA,1,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,1955,44.81776,20.46937
Palilula,Botanicka Basta,Drinciceva,79500,34,2338,1,NA,1,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.81776,20.46937
Stari Grad,Gundulicev Venac,Drinciceva,79500,34,2338,1,NA,1,Centralno,Nije uknjizeno,0,1,0,0,0,0,NA,NA,44.81776,20.46937
Stari Grad,Skadarlija,Drinciceva,79500,34,2338,1,NA,1,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.81776,20.46937
Novi Beograd,Blok 63,Gandijeva,79500,44,1807,1,NA,11,Centralno,Uknjizeno,0,2,0,1,0,0,Prazno,1986,44.8075,20.38505
Stari Grad,Toplicin Venac,Marsala Birjuzova,79000,21,3762,1,NA,3,Centralno,Uknjizba u toku,0,NA,NA,NA,NA,NA,NA,NA,44.81565,20.45625
Vracar,Kalenic,Kalenic,78000,20,3900,1,NA,4,Struja,Uknjizeno,0,NA,NA,NA,NA,NA,NA,1950,44.80135,20.47574
Stari Grad,Knez Mihajlova,Kralja Petra,78000,24,3250,1,NA,5,Centralno,Uknjizeno,0,1,0,0,0,0,NA,NA,44.81833,20.45307
Vracar,Pravni fakultet - Vracar,Svetozara Markovica,78000,32,2438,1,NA,Prizemlje,Centralno,Uknjizeno,0,1,0,0,0,1,NA,1966,44.8066,20.46756
Palilula,Tasmajdan,Svetozara Markovica,78000,32,2438,1,NA,Prizemlje,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,Prazno,NA,44.82512,20.54288
Vracar,Tasmajdan,Svetozara Markovica,78000,32,2438,1,NA,Prizemlje,Centralno,Uknjizeno,0,1,0,0,0,0,NA,NA,44.8066,20.46756
Vracar,Juzni Bulevar,Juzni bulevar,78000,38,2053,1,NA,6,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.7928,20.47359
Vracar,Juzni Bulevar,Juzni bulevar,78000,38,2053,1,NA,6,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.7928,20.47359
Vracar,Crveni Krst Vracar,Grcica Milenka,77670,43,1806,1,NA,14,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.79408,20.49012
Vracar,Kalenic,Milesevska,77000,25,3080,1,NA,1,TA pec,Uknjizeno,0,1,0,0,0,0,NA,1940,44.79968,20.48041
Novi Beograd,Blok 31 - Opstina,BulevarMIHAJLA PUPINA,77000,43,1791,1,NA,7,Centralno,Uknjizeno,0,2,0,0,0,1,Prazno,1970,44.81613,20.43133
Vracar,Crveni Krst Vracar,Sazonova,76800,32,2400,1,NA,2,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.7959,20.48261
Vozdovac,Autokomanda,Admirala Vukovica,76000,30,2533,1,NA,2,Centralno,Uknjizeno,0,1,1,0,0,0,NA,2018,44.78522,20.4721
Cukarica,Banovo Brdo,Banovo Brdo,76000,31,2452,1,NA,1,Centralno,Uknjizeno,0,1,1,0,0,0,Namesteno,NA,44.77385,20.4141
Vracar,Cvetni Trg,Misarska,75000,30,2500,1,NA,NA,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,1939,44.80672,20.46605
Vozdovac,Donji Vozdovac,Admirala Vukovica,75000,30,2500,1,NA,1,Centralno,NA,0,1,1,0,0,0,NA,2019,44.78522,20.4721
Vracar,Cubura,Maruliceva,75000,37,2027,1,NA,1,Etazno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.79496,20.47957
Cukarica,Cukaricka Padina,Obalskih radnika,75000,38,1974,1,NA,3,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.7769,20.40467
Cukarica,Ada Ciganlija,Obalskih radnika,75000,42,1786,1,NA,3,Centralno,Uknjizeno,0,1,1,0,0,1,Polunamesteno,2003,44.7769,20.40467
Cukarica,Banovo Brdo,Ivice Devcica,75000,43,1744,1,NA,3,Centralno,Uknjizeno,0,1,1,0,0,1,NA,1999,44.77124,20.41184
Vracar,Hram Svetog Save,Nebojsina,74900,31,2416,1,NA,3,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,2014,44.79452,20.46698
Novi Beograd,Blok 70a,Dr. Agostina Neta,73000,33,2212,1,NA,2,Centralno,Uknjizeno,0,1,1,0,0,1,Prazno,1990,44.80715,20.40385
Novi Beograd,Blok 70a,Dr. Agustina Neta,73000,33,2212,1,NA,2,Centralno,Uknjizeno,0,2,0,0,0,0,NA,1980,44.80715,20.40385
Novi Beograd,,Dr. Agostina Neta,73000,33,2212,1,NA,2,Centralno,Uknjizeno,0,1,0,0,0,0,Prazno,1980,44.80715,20.40385
Novi Beograd,Bezanijski Blokovi,Gandijeva,72500,45,1611,1,NA,7,Centralno,Uknjizeno,0,2,0,0,0,0,NA,NA,44.8075,20.38505
Vozdovac,Dusanovac,Ustanicka,71000,42,1690,1,NA,1,Centralno,Uknjizeno,0,1,0,0,0,1,NA,1970,44.78874,20.47401
Novi Beograd,Blok 7a - Paviljoni,Luja Adamica,70500,39,1808,1,NA,1,Centralno,Uknjizeno,0,1,1,0,0,1,Prazno,1970,44.83455,20.40653
Vracar,Cvetni Trg,Misarska,70000,22,3182,1,NA,NA,Norveski radijatori,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.80672,20.46605
Novi Beograd,Blok 72,dr ivana ribara,70000,45,1556,1,NA,NA,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.80095,20.36885
Novi Beograd,Blok 62,Jurija Gagarina,69900,41,1705,1,NA,5,Centralno,Uknjizeno,0,2,0,1,0,0,NA,NA,44.80407,20.37989
Novi Beograd,Blok 70a,Dr Agostina Neta,68500,33,2076,1,NA,2,Centralno,Uknjizeno,0,2,0,0,0,0,NA,NA,44.80715,20.40385
Rakovica,Miljakovac,Stevana Opacica,68500,61,1123,1,NA,NA,Centralno,Uknjizeno,0,1,0,1,0,0,Namesteno,NA,44.74697,20.45571
Zvezdara,Lion,Ðevdelijska,68150,30,2272,1,NA,NA,Centralno,NA,0,NA,NA,NA,NA,NA,NA,NA,44.79313,20.50491
Vracar,Hram Svetog Save,Nebojsina,68000,27,2519,1,NA,5,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.79452,20.46698
Novi Beograd,Blok 62,Dusana Vukasovica,68000,41,1659,1,NA,9,Centralno,Nije uknjizeno,0,1,1,0,0,0,Prazno,NA,44.80268,20.37402
Cukarica,Banovo Brdo,Straska Pindzura,67000,33,2030,1,NA,4,Gas,Uknjizeno,0,1,1,0,0,0,NA,2013,44.77859,20.41232
Palilula,Cvijiceva,Albanske spomenice,67000,34,1971,1,NA,10,Centralno,Uknjizeno,1,1,0,0,0,1,NA,NA,44.80995,20.48183
Vracar,Juzni Bulevar,Bokeljska,66500,25,2660,1,NA,6,Centralno,Uknjizeno,0,1,0,0,0,0,Namesteno,NA,44.79184,20.46811
Zvezdara,Vukov Spomenik,Zahumska,66000,30,2200,1,NA,1,Struja,Uknjizeno,0,NA,NA,NA,NA,NA,Prazno,1929,44.80364,20.48267
Savski Venac,Senjak,Senjak,66000,33,2000,1,NA,4,Centralno,Uknjizeno,1,1,0,0,0,0,NA,NA,44.79087,20.43833
Novi Beograd,Blok 1 - Fontana,Fontana - Pariske komune,65900,35,1883,1,NA,2,Centralno,Uknjizeno,0,1,0,0,0,0,NA,NA,44.82852,20.40307
Stari Grad,Dorcol,Strahinjica Bana,65000,20,3250,1,NA,4,Centralno,Uknjizeno,0,0,1,0,0,0,Prazno,NA,44.82205,20.46067
Stari Grad,Gornji Dorcol,Strahinjica Bana,65000,20,3250,1,NA,4,TA pec,Uknjizeno,0,1,0,0,0,0,NA,NA,44.82205,20.46067
Cukarica,Cukaricka Padina,Stevana Ðurdevica Trosarinca,63500,41,1549,1,NA,NA,Centralno,Uknjizeno,0,1,0,0,0,1,Prazno,NA,44.77665,20.40629
Zemun,Karadordev Trg,Kapetana Radica Petrovica,62000,30,2067,1,NA,1,Struja,Uknjizeno,1,0,1,0,0,1,NA,1958,44.83708,20.41586
Zemun,Kalvarija,Ohridska,62000,42,1476,1,NA,3,Centralno,Nije uknjizeno,0,1,0,1,0,1,Prazno,NA,44.84547,20.39915
Palilula,Postanska Stedionica,Ruzveltova,61000,24,2542,1,NA,Prizemlje,Struja,Uknjizeno,0,0,1,0,0,1,Prazno,1950,44.80755,20.48133
Zemun,Altina,Autoput za Novi Sad,60045,40,1501,1,NA,Prizemlje,NA,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.87249,20.3352
Zvezdara,Vukov Spomenik,Ruzveltova,60000,24,2500,1,NA,Prizemlje,Struja,Uknjizeno,0,0,1,0,0,0,Prazno,NA,44.80755,20.48133
Zvezdara,Slavujev Venac,Slavujev venac,60000,40,1500,1,NA,Suteren,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.80578,20.48667
Zemun,Sava Kovacevic,Mice Radakovica,60000,42,1429,1,NA,6,Centralno,Uknjizeno,0,1,0,1,0,0,NA,1974,44.84269,20.39228
Palilula,Cvijiceva,Cvijiceva,59900,29,2066,1,NA,9,Centralno,Uknjizeno,0,1,1,0,0,0,Prazno,1962,44.81118,20.47982
Zvezdara,Ðeram,Jedrenska,59800,26,2300,1,NA,Prizemlje,Struja,Uknjizeno,0,NA,NA,NA,NA,NA,Namesteno,NA,44.80098,20.48821
Novi Beograd,Blok 70a,Omladinskih brigada,59000,24,2458,1,NA,Prizemlje,Centralno,Nije uknjizeno,0,NA,NA,NA,NA,NA,Namesteno,NA,44.81564,20.40535
Vozdovac,Lekino Brdo,Lekino Brdo,59000,27,2185,1,NA,NA,Etazno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.78632,20.48037
Vozdovac,Lekino Brdo,Dragacevska,59000,33,1788,1,NA,NA,Etazno,Uknjizeno,0,0,0,0,0,1,NA,1970,44.78984,20.49247
Vozdovac,Saobracajni fakultet,Ljuba Vuckovica,59000,35,1686,1,NA,2,Struja,Nije uknjizeno,0,0,1,0,0,1,Prazno,1970,44.76937,20.48265
Vozdovac,Vozdovac - Centar,Ljube Vuckovica,59000,35,1686,1,NA,2,Struja,Uknjizeno,0,0,1,0,0,0,Namesteno,NA,44.77196,20.48234
Vozdovac,Vozdovac - Centar,Ljube Vuckovica,59000,35,1686,1,NA,2,Struja,Uknjizeno,0,0,1,0,0,0,NA,1970,44.77196,20.48234
Zvezdara,Lion,Ðevdelijska,58100,25,2324,1,NA,1,Centralno,NA,0,1,0,0,0,0,NA,2020,44.79313,20.50491
Stari Grad,Obilicev Venac,Obilicev venac,58000,18,3222,1,NA,3,Struja,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.81617,20.45749
Stari Grad,Obilicev Venac,Obilicev venac,58000,18,3222,1,NA,3,Etazno,Uknjizeno,0,0,1,0,0,0,NA,NA,44.81617,20.45749
Stari Grad,Obilicev Venac,Obilicev venac,58000,18,3222,1,NA,3,Struja,Uknjizeno,0,0,1,0,0,0,NA,NA,44.81617,20.45749
Stari Grad,Obilicev Venac,Obilicev venac,58000,18,3222,1,NA,3,NA,Uknjizeno,0,0,0,0,0,1,Prazno,1927,44.81617,20.45749
Vracar,Hram Svetog Save,Stojana Protica,57000,16,3563,1,NA,4,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.79659,20.4722
Vracar,Hram Svetog Save,Stojana Protica,57000,17,3353,1,NA,4,Centralno,Uknjizeno,0,1,0,0,0,0,Prazno,2012,44.79659,20.4722
Vracar,Hram Svetog Save,Stojana Protica,57000,17,3353,1,NA,4,Centralno,Uknjizeno,0,1,0,0,0,0,NA,NA,44.79659,20.4722
Vracar,Hram Svetog Save,Stojana Protica,57000,17,3353,1,NA,4,Centralno,Nije uknjizeno,0,1,0,0,0,0,Prazno,2010,44.79659,20.4722
Zvezdara,Gradska Bolnica,Dimitrija Tucovica,57000,30,1900,1,NA,2,Centralno,NA,1,0,0,0,0,1,NA,NA,44.80214,20.49086
Stari Grad,Centar,Obilicev venac,56000,18,3111,1,NA,3,Struja,Uknjizeno,0,NA,NA,NA,NA,NA,Prazno,NA,44.81617,20.45749
Stari Grad,Obilicev Venac,Obilicev venac,56000,18,3111,1,NA,3,TA pec,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.81617,20.45749
Zvezdara,Slavujev Venac,Toplicka,55000,23,2391,1,NA,Prizemlje,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,Prazno,NA,44.805,20.48828
Novi Beograd,Blok 1 - Fontana,Otona Zupancica,55000,25,2200,1,NA,Prizemlje,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,Prazno,NA,44.82938,20.40814
Vozdovac,Trosarina,Vojvode Stepe,55000,29,1897,1,NA,1,Etazno,Uknjizeno,0,1,0,1,0,0,NA,2019,44.78559,20.49139
Vozdovac,Medakovic ,Borivoja Stevanovica,55000,41,1341,1,NA,NA,Centralno,Nije uknjizeno,0,1,1,0,0,0,Prazno,NA,44.77396,20.50848
Obrenovac,,Obrenovac,55000,52,1058,1,NA,1,Centralno,Uknjizeno,0,0,1,0,0,1,Namesteno,NA,44.65374,20.20248
Novi Beograd,Blok 61,Jurija Gagarina,54900,30,1830,1,NA,14,Centralno,Uknjizeno,0,2,0,0,0,0,NA,NA,44.80407,20.37989
Zvezdara,Zvezdarska Suma,Lukijana Musickog,54000,29,1862,1,NA,1,Etazno,Uknjizeno,0,0,1,0,0,0,Namesteno,2006,44.79813,20.50856
Zvezdara,Gradska Bolnica,Gradska Bolnica,53900,52,1037,1,NA,Suteren,Struja,Uknjizba u toku,0,NA,NA,NA,NA,NA,NA,2019,44.7954,20.50565
Stari Grad,Centar,Decanska,53000,18,2944,1,NA,6,Centralno,Uknjizeno,0,1,0,0,0,0,NA,1941,44.81403,20.46294
Zvezdara,Vojvode Vlahovica,Vojvode Vlahovica,53000,41,1293,1,NA,NA,Etazno,Nije uknjizeno,0,0,1,0,0,0,Prazno,NA,44.76123,20.50601
Stari Grad,Dorcol,Jevrejska,51900,38,1366,1,NA,Suteren,TA pec,Uknjizeno,0,NA,NA,NA,NA,NA,NA,1961,44.82699,20.45722
Vozdovac,Kumodraz,Vojvode Stepe,51000,39,1308,1,NA,4,Centralno,Uknjizba u toku,0,0,0,1,0,0,NA,2010,44.78559,20.49139
Vracar,Kalenic,Njegoseva,50000,25,2000,1,NA,Suteren,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.80168,20.47226
Vozdovac,Sumice,Ustanicka,50000,25,2000,1,NA,1,Centralno,Uknjizeno,0,1,0,0,0,0,NA,NA,44.78874,20.47401
Zemun,Sava Kovacevic,Mica Radakovica,50000,37,1351,1,NA,11,Centralno,NA,0,1,0,1,0,0,NA,NA,44.84269,20.39228
Palilula,Visnjicka Banja,Visnjicka Banja,50000,50,1000,1,NA,Nisko,Centralno,Uknjizeno,0,0,1,0,0,0,NA,NA,44.81708,20.54174
Zvezdara,Gradska Bolnica,Cingrijina,49900,28,1782,1,NA,7,NA,Uknjizeno,0,1,0,1,0,0,NA,NA,44.79881,20.50523
Cukarica,Banovo Brdo,Pozeska,49800,33,1509,1,NA,Prizemlje,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.77315,20.41395
Cukarica,Cukaricka Padina,Obalskih radnika,49000,28,1750,1,NA,6,Centralno,Uknjizeno,0,1,1,0,0,1,Prazno,NA,44.7769,20.40467
Zvezdara,Mirijevo,Aleksandra Belica,48990,43,1139,1,NA,2,Centralno,Nije uknjizeno,0,0,1,0,0,1,NA,1990,44.78864,20.5447
Zvezdara,Lipov Lad,Ravanicka,48000,28,1714,1,NA,2,Struja,Uknjizeno,0,0,1,0,0,0,NA,NA,44.79278,20.4988
Zemun,Zemun - Centar,Teodora Hercla,48000,39,1231,1,NA,Prizemlje,NA,Uknjizeno,0,0,0,1,0,0,Prazno,1978,44.84133,20.40094
Savski Venac,Beogradanka,Admirala Geprata,45500,22,2068,1,NA,6,Etazno,Uknjizeno,0,1,0,0,0,0,Prazno,NA,44.80819,20.46038
Vracar,Crveni Krst Vracar,Maksima Gorkog,45000,20,2250,1,NA,5,Centralno,Uknjizeno,0,1,1,0,0,0,Prazno,1919,44.79587,20.47759
Vracar,Kalenic,Maksima Gorkog,45000,20,2250,1,NA,5,Struja,Uknjizeno,0,1,1,0,0,0,Prazno,1968,44.79587,20.47759
Savski Venac,Beogradanka,Admirala Geprata,45000,22,2045,1,NA,6,Struja,Uknjizeno,0,1,0,0,0,0,NA,1960,44.80819,20.46038
Savski Venac,Beogradanka,Admirala Geprata,45000,22,2045,1,NA,6,Struja,Uknjizeno,0,1,0,0,0,0,Prazno,NA,44.80819,20.46038
Zvezdara,Uciteljsko Naselje,Kovaceva,45000,35,1286,1,NA,Nisko,Norveski radijatori,Nije uknjizeno,0,0,1,0,0,0,Namesteno,NA,44.78851,20.50629
Vozdovac,Kumodraz,Bozicna,45000,55,818,1,NA,NA,Struja,Nije uknjizeno,0,NA,NA,NA,NA,NA,Namesteno,NA,44.74871,20.51643
Novi Beograd,Blok 11a,Omladinskih brigada,44900,21,2138,1,NA,9,Centralno,Uknjizeno,0,1,0,0,0,0,NA,NA,44.81564,20.40535
Rakovica,Kanarevo Brdo,Petra Konjovica,44900,34,1321,1,NA,3,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.75215,20.4484
Zvezdara,Kluz,Voje Veljkovica,44748,27,1657,1,NA,1,Centralno,NA,1,1,1,0,0,0,NA,2020,44.78698,20.51833
Savski Venac,Beogradanka,Admirala Geprata,44000,22,2000,1,NA,6,Struja,Uknjizeno,0,1,0,0,0,0,NA,1947,44.80819,20.46038
Cukarica,Filmski Grad,Miloja Zakica,44000,29,1517,1,NA,1,Centralno,Nije uknjizeno,0,1,0,0,0,0,NA,NA,44.75636,20.42907
Zvezdara,Mirijevo,Jovanke Radakovic,44000,37,1189,1,NA,Prizemlje,Struja,Uknjizeno,0,0,1,0,0,0,NA,2005,44.79461,20.52353
Rakovica,Labudovo Brdo,Labudovo Brdo,44000,45,978,1,NA,4,Etazno,Uknjizba u toku,1,0,0,1,0,0,NA,2008,44.74324,20.44514
Rakovica,Miljakovac,Stanka Paunovica Veljka,43500,35,1243,1,NA,3,Centralno,Uknjizeno,0,0,1,0,0,0,NA,NA,44.74358,20.4507
